,PRODUCT_ID,EVENTTIME,GLASS_ID,EVA_CHAMBER,MASK_ID,MASK_SET,PORT,LINE,POS_X,POS_Y,X_Label,Y_Label,PPA_X,PPA_Y,OFFSET_X,OFFSET_Y,OFFSET_tht
0,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,667.357,-408.4,19,6,5.6768,-1.5504,-3.0,0.0,7.0
1,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-518.051,398.646,3,1,-2.0029,-2.9033,-3.0,0.0,7.0
2,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-592.139,-85.563,2,4,-2.5489,0.5177,-3.0,0.0,7.0
3,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-592.139,398.647,2,1,-4.8546,-1.6926,-3.0,0.0,7.0
4,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-666.227,-85.562,1,4,-3.8794,-0.2383,-3.0,0.0,7.0
5,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-666.227,398.649,1,1,-5.136,-1.2304,-3.0,0.0,7.0
6,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-518.051,-85.564,3,4,0.4507,1.0903,-3.0,0.0,7.0
7,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-443.963,398.646,4,1,2.0242,-1.0077,-3.0,0.0,7.0
8,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,-369.875,398.648,5,1,1.3978,1.0291,-3.0,0.0,7.0
9,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,222.829,-85.556,13,4,-2.0525,0.07,-3.0,0.0,7.0
10,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,222.829,398.649,13,1,1.5333,4.5972,-3.0,0.0,7.0
11,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,148.741,-85.558,12,4,0.2135,0.1395,-3.0,0.0,7.0
12,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,148.741,398.648,12,1,5.1676,6.6822,-3.0,0.0,7.0
13,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,74.653,-85.557,11,4,-0.6621,-0.005,-3.0,0.0,7.0
14,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,74.653,398.649,11,1,2.5002,7.6022,-3.0,0.0,7.0
15,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,0.565,-85.558,10,4,-0.7305,0.6214,-3.0,0.0,7.0
16,G2639QB101FQ-007E,2019-05-30 02:28:29,L2E9421B1121,OC_7,1F2R639QH1B001,B001,A,2,0.565,398.649,10,1,3.7312,5.0478,-3.0,0.0,7.0
